TemplateStr,TemplateTokens,ParameterClasses,ExampleLog,Dataset
NodeCard is not fully functional,"['NodeCard', 'is', 'not', 'fully', 'functional']",{},NodeCard is not fully functional,bgl
Node card status: <*> <*><*> <*> <*><*> <*> <*><*> <*> <*> is (are) active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*> <*>. Temperature Mask is <*> <*>. No temperature error. Temperature Limit Error Latch is <*>. PGOOD is <*>. PGOOD error latch is <*>. MPGOOD is <*>. MPGOOD error latch is <*>. The 2.5 volt rail is <*>. The 1.5 volt rail is <*>,"['Node', 'card', 'status', ':', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'is', '(', 'are', ')', 'active', '.', 'Clock', 'Mode', 'is', '<*>', '.', 'Clock', 'Select', 'is', '<*>', '.', 'Phy', 'JTAG', 'Reset', 'is', '<*>', '.', 'ASIC', 'JTAG', 'Reset', 'is', '<*>', '<*>', '.', 'Temperature', 'Mask', 'is', '<*>', '<*>', '.', 'No', 'temperature', 'error', '.', 'Temperature', 'Limit', 'Error', 'Latch', 'is', '<*>', '.', 'PGOOD', 'is', '<*>', '.', 'PGOOD', 'error', 'latch', 'is', '<*>', '.', 'MPGOOD', 'is', '<*>', '.', 'MPGOOD', 'error', 'latch', 'is', '<*>', '.', 'The', '2.5', 'volt', 'rail', 'is', '<*>', '.', 'The', '1.5', 'volt', 'rail', 'is', '<*>']","{24: 'Other::ClosedSet', 69: 'Other::ClosedSet', 73: 'Other::ClosedSet', 63: 'Other::ClosedSet', 59: 'Other::ClosedSet', 47: 'Other::ClosedSet', 48: 'Other::ClosedSet', 41: 'Other::ClosedSet', 42: 'Other::ClosedSet', 35: 'Other::ClosedSet', 29: 'Other::ClosedSet', 79: 'Other::ClosedSet', 86: 'Other::ClosedSet', 93: 'Other::ClosedSet'}","Node card status: ALERT 0, ALERT 1, ALERT 2, ALERT 3 is (are) active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is not asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD is asserted. PGOOD error latch is clear. MPGOOD is OK. MPGOOD error latch is clear. The 2.5 volt rail is OK. The 1.5 volt rail is OK.",bgl
"Node card VPD check: <*> node in processor card slot <*> do not match. VPD ecid <*>, found <*>","['Node', 'card', 'VPD', 'check', ':', '<*>', 'node', 'in', 'processor', 'card', 'slot', '<*>', 'do', 'not', 'match', '.', 'VPD', 'ecid', '<*>', ',', 'found', '<*>']",{},"Node card VPD check: U11 node in processor card slot J16 do not match. VPD ecid 04DF80A7942FFFFF0C081AE08CD2, found 0000000000000000000000000000",bgl
"idoproxydb hit ASSERT condition: ASSERT expression=<*> Source file=<*> Source line=<*> Function=<*> IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)","['idoproxydb', 'hit', 'ASSERT', 'condition', ':', 'ASSERT', 'expression', '=', '<*>', 'Source', 'file', '=', '<*>', 'Source', 'line', '=', '<*>', 'Function', '=', '<*>', 'IdoTransportMgr', ':', ':', 'SendPacket', '(', 'IdoUdpMgr*', ',', 'BglCtlPavTrace*', ')']",{19: 'Other::ClosedSet'},"idoproxydb hit ASSERT condition: ASSERT expression=0 Source file=idotransportmgr.cpp Source line=1043 Function=int IdoTransportMgr::SendPacket(IdoUdpMgr*, BglCtlPavTrace*)",bgl
Node card status: no ALERTs are active. Clock Mode is <*>. Clock Select is <*>. Phy JTAG Reset is <*>. ASIC JTAG Reset is <*>. Temperature Mask is <*> <*>. No temperature error. Temperature Limit Error Latch is <*>. PGOOD IS <*> <*>. PGOOD ERROR LATCH IS <*>. MPGOOD IS <*> <*>. MPGOOD ERROR LATCH IS <*>. The 2.5 volt rail is <*>. The 1.5 volt rail is <*>,"['Node', 'card', 'status', ':', 'no', 'ALERTs', 'are', 'active', '.', 'Clock', 'Mode', 'is', '<*>', '.', 'Clock', 'Select', 'is', '<*>', '.', 'Phy', 'JTAG', 'Reset', 'is', '<*>', '.', 'ASIC', 'JTAG', 'Reset', 'is', '<*>', '.', 'Temperature', 'Mask', 'is', '<*>', '<*>', '.', 'No', 'temperature', 'error', '.', 'Temperature', 'Limit', 'Error', 'Latch', 'is', '<*>', '.', 'PGOOD', 'IS', '<*>', '<*>', '.', 'PGOOD', 'ERROR', 'LATCH', 'IS', '<*>', '.', 'MPGOOD', 'IS', '<*>', '<*>', '.', 'MPGOOD', 'ERROR', 'LATCH', 'IS', '<*>', '.', 'The', '2.5', 'volt', 'rail', 'is', '<*>', '.', 'The', '1.5', 'volt', 'rail', 'is', '<*>']","{12: 'Other::ClosedSet', 17: 'Other::ClosedSet', 23: 'Other::ClosedSet', 29: 'Other::ClosedSet', 34: 'Other::ClosedSet', 35: 'Other::ClosedSet', 46: 'Other::ClosedSet', 50: 'Other::ClosedSet', 51: 'Other::ClosedSet', 57: 'Other::ClosedSet', 61: 'Other::ClosedSet', 62: 'Other::ClosedSet', 68: 'Other::ClosedSet', 75: 'Other::ClosedSet', 82: 'Other::ClosedSet'}",Node card status: no ALERTs are active. Clock Mode is Low. Clock Select is Midplane. Phy JTAG Reset is asserted. ASIC JTAG Reset is asserted. Temperature Mask is not active. No temperature error. Temperature Limit Error Latch is clear. PGOOD IS NOT ASSERTED. PGOOD ERROR LATCH IS ACTIVE. MPGOOD IS NOT OK. MPGOOD ERROR LATCH IS ACTIVE. The 2.5 volt rail is OK. The 1.5 volt rail is OK.,bgl
"PrepareForService shutting down NodeCard(mLctn(<*>), mCardSernum(<*>), mLp(<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>), mIp(<*>), mType(<*>)) as part of Service Action <*>","['PrepareForService', 'shutting', 'down', 'NodeCard', '(', 'mLctn', '(', '<*>', ')', ',', 'mCardSernum', '(', '<*>', ')', ',', 'mLp', '(', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', ')', ',', 'mIp', '(', '<*>', ')', ',', 'mType', '(', '<*>', ')', ')', 'as', 'part', 'of', 'Service', 'Action', '<*>']",{44: 'Location::IP-Port::IP'},"PrepareForService shutting down NodeCard(mLctn(R25-M1-N2), mCardSernum(203231503833343000000000594c31304b34333431303158), mLp(FF:F2:9F:16:CF:0F:00:0D:60:E9:30:F0), mIp(10.2.2.80), mType(4)) as part of Service Action 310",bgl
rts tree/torus link training failed: wanted: <*> <*> <*> <*> <*> <*> <*> <*> got: <*> <*> <*> <*> <*> <*>,"['rts', 'tree/torus', 'link', 'training', 'failed', ':', 'wanted', ':', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', 'got', ':', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>']",{},rts tree/torus link training failed: wanted: B C X+ X- Y+ Y- Z+ Z- got: B C X- Y- Z+ Z-,bgl
<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected,"['<*>', 'tree', 'receiver', '<*>', 'in', 're-synch', 'state', 'event', '(', 's', ')', '(', 'dcr', '<*>', ')', 'detected']",{},1 tree receiver 2 in re-synch state event(s) (dcr 0x019a) detected,bgl
"ciod: Error loading <*>: invalid or missing program image, Exec format error","['ciod', ':', 'Error', 'loading', '<*>', ':', 'invalid', 'or', 'missing', 'program', 'image', ',', 'Exec', 'format', 'error']",{4: 'Location::Path'},"ciod: Error loading /bgl/apps/scaletest/performance/MINIBEN/mb_243_0810/allreduce.rts: invalid or missing program image, Exec format error",bgl
ciod: Error reading message prefix after <*> on CioStream socket to <*>:<*>: Link has been severed,"['ciod', ':', 'Error', 'reading', 'message', 'prefix', 'after', '<*>', 'on', 'CioStream', 'socket', 'to', '<*>', ':', '<*>', ':', 'Link', 'has', 'been', 'severed']","{12: 'Location::IP-Port::IP', 7: 'Other::ClosedSet', 14: 'Location::IP-Port::Port'}",ciod: Error reading message prefix after LOAD_MESSAGE on CioStream socket to 172.16.96.116:42213: Link has been severed,bgl
rts: kernel terminated for reason <*>,"['rts', ':', 'kernel', 'terminated', 'for', 'reason', '<*>']",{6: 'Other::ClosedSet'},rts: kernel terminated for reason 1003,bgl
ciod: generated <*> core files for program <*>,"['ciod', ':', 'generated', '<*>', 'core', 'files', 'for', 'program', '<*>']",{8: 'Location::Path'},ciod: generated 64 core files for program /bgl/apps/swl-prep/ibm-swl/functional/sppm_chkpt/run/sppm,bgl
iar <*> dear <*>,"['iar', '<*>', 'dear', '<*>']",{},iar 003a90fc dear 00b360e8,bgl
"NFS Mount failed on <*>, slept <*> seconds, retrying (<*>)","['NFS', 'Mount', 'failed', 'on', '<*>', ',', 'slept', '<*>', 'seconds', ',', 'retrying', '(', '<*>', ')']",{7: 'Time::Timestamp'},"NFS Mount failed on bglio716, slept 15 seconds, retrying (1)",bgl
Lustre mount FAILED : <*> : <*> <*>,"['Lustre', 'mount', 'FAILED', ':', '<*>', ':', '<*>', '<*>']","{7: 'Location', 6: 'Location', 4: 'Object::ComputingResource'}",Lustre mount FAILED : bglio559 : point /p/gb1,bgl
ciod: pollControlDescriptors: Detected the debugger died.,"['ciod', ':', 'pollControlDescriptors', ':', 'Detected', 'the', 'debugger', 'died.']",{},ciod: pollControlDescriptors: Detected the debugger died.,bgl
"ciod: In packet from node <*> (<*><*><*>), message code <*> is not <*> or <*> (softheader=<*> <*> <*> <*>)","['ciod', ':', 'In', 'packet', 'from', 'node', '<*>', '(', '<*>', '<*>', '<*>', ')', ',', 'message', 'code', '<*>', 'is', 'not', '<*>', 'or', '<*>', '(', 'softheader', '=', '<*>', '<*>', '<*>', '<*>', ')']",{15: 'Other::ClosedSet'},"ciod: In packet from node 91.0 (R62-M1-Nf-C:J03-U11), message code 2 is not 3 or 4294967295 (softheader=003b005b 00030000 00000001 00000000)",bgl
suppressing further interrupts of same type,"['suppressing', 'further', 'interrupts', 'of', 'same', 'type']",{},suppressing further interrupts of same type,bgl
rts: bad message header: expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>,"['rts', ':', 'bad', 'message', 'header', ':', 'expecting', 'type', '<*>', 'instead', 'of', 'type', '<*>', '(', 'softheader', '=', '<*>', '<*>', '<*>', '<*>', ')', 'PSR0', '=', '<*>', 'PSR1', '=', '<*>', 'PRXF', '=', '<*>', 'PIXF', '=', '<*>']","{8: 'Other::ClosedSet', 12: 'Other::ClosedSet'}",rts: bad message header: expecting type 57 instead of type 3 (softheader=00131db8 81aa0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007,bgl
critical input interrupt (unit=<*> bit=<*>): warning for torus <*> wire,"['critical', 'input', 'interrupt', '(', 'unit', '=', '<*>', 'bit', '=', '<*>', ')', ':', 'warning', 'for', 'torus', '<*>', 'wire']",{15: 'Other::ClosedSet'},critical input interrupt (unit=0x0b bit=0x06): warning for torus y+ wire,bgl
"ciod: Error loading <*>: invalid or missing program image, Permission denied","['ciod', ':', 'Error', 'loading', '<*>', ':', 'invalid', 'or', 'missing', 'program', 'image', ',', 'Permission', 'denied']",{4: 'Location::Path'},"ciod: Error loading /home/spelce1/HPCC_IBM/Urgent/Gunnels/VNM64/vnm.rts: invalid or missing program image, Permission denied",bgl
data cache search parity error detected. attempting to correct,"['data', 'cache', 'search', 'parity', 'error', 'detected', '.', 'attempting', 'to', 'correct']",{},data cache search parity error detected. attempting to correct,bgl
shutdown complete,"['shutdown', 'complete']",{},shutdown complete,bgl
"Error receiving packet on tree network, expecting type <*> instead of type <*> (softheader=<*> <*> <*> <*>) PSR0=<*> PSR1=<*> PRXF=<*> PIXF=<*>","['Error', 'receiving', 'packet', 'on', 'tree', 'network', ',', 'expecting', 'type', '<*>', 'instead', 'of', 'type', '<*>', '(', 'softheader', '=', '<*>', '<*>', '<*>', '<*>', ')', 'PSR0', '=', '<*>', 'PSR1', '=', '<*>', 'PRXF', '=', '<*>', 'PIXF', '=', '<*>']","{9: 'Other::ClosedSet', 13: 'Other::ClosedSet'}","Error receiving packet on tree network, expecting type 57 instead of type 3 (softheader=0064588e 8aff0003 00000002 00000000) PSR0=00001f01 PSR1=00000000 PRXF=00000002 PIXF=00000007",bgl
<*> L3 EDRAM error(s) (dcr <*>) detected and corrected,"['<*>', 'L3', 'EDRAM', 'error', '(', 's', ')', '(', 'dcr', '<*>', ')', 'detected', 'and', 'corrected']",{},3 L3 EDRAM error(s) (dcr 0x0157) detected and corrected,bgl
"critical input interrupt (unit=<*> bit=<*>): warning for torus <*> wire, suppressing further interrupts of same type","['critical', 'input', 'interrupt', '(', 'unit', '=', '<*>', 'bit', '=', '<*>', ')', ':', 'warning', 'for', 'torus', '<*>', 'wire', ',', 'suppressing', 'further', 'interrupts', 'of', 'same', 'type']",{15: 'Other::ClosedSet'},"critical input interrupt (unit=0x0b bit=0x0a): warning for torus z+ wire, suppressing further interrupts of same type",bgl
<*> torus sender <*> retransmission error(s) (dcr <*>) detected and corrected over <*> <*>,"['<*>', 'torus', 'sender', '<*>', 'retransmission', 'error', '(', 's', ')', '(', 'dcr', '<*>', ')', 'detected', 'and', 'corrected', 'over', '<*>', '<*>']","{3: 'Other::ClosedSet', 17: 'Time::Duration', 18: 'Time::Duration'}",18507114 torus sender z- retransmission error(s) (dcr 0x02f9) detected and corrected over 198 seconds,bgl
"ciod: Received signal <*>, code=<*>, errno=<*>, address=<*>","['ciod', ':', 'Received', 'signal', '<*>', ',', 'code', '=', '<*>', ',', 'errno', '=', '<*>', ',', 'address', '=', '<*>']",{4: 'Other::ClosedSet'},"ciod: Received signal 15, code=0, errno=0, address=0x000001b0",bgl
MACHINE CHECK DCR read timeout (mc=<*> iar <*> lr <*>),"['MACHINE', 'CHECK', 'DCR', 'read', 'timeout', '(', 'mc', '=', '<*>', 'iar', '<*>', 'lr', '<*>', ')']",{},MACHINE CHECK DCR read timeout (mc=e08x iar 0x00000000 lr 0xc00045a4),bgl
"ciod: Error reading message prefix on CioStream socket to <*>:<*>, <*> <*> <*>","['ciod', ':', 'Error', 'reading', 'message', 'prefix', 'on', 'CioStream', 'socket', 'to', '<*>', ':', '<*>', ',', '<*>', '<*>', '<*>']","{10: 'Location::IP-Port::IP', 12: 'Location::IP-Port::Port', 14: 'Other::ClosedSet', 15: 'Other::ClosedSet', 16: 'Other::ClosedSet'}","ciod: Error reading message prefix on CioStream socket to 172.16.96.116:41554, Connection timed out",bgl
dbcr0=<*> dbsr=<*> ccr0=<*>,"['dbcr0', '=', '<*>', 'dbsr', '=', '<*>', 'ccr0', '=', '<*>']",{},dbcr0=0x00000000 dbsr=0x00000000 ccr0=0x40002000,bgl
r24=<*> r25=<*> r26=<*> r27=<*>,"['r24', '=', '<*>', 'r25', '=', '<*>', 'r26', '=', '<*>', 'r27', '=', '<*>']",{},r24=0x0ffea4c8 r25=0x00000003 r26=0x0000000f r27=0xffffd000,bgl
<*> tree receiver <*> in re-synch state event(s) (dcr <*>) detected over <*> <*>,"['<*>', 'tree', 'receiver', '<*>', 'in', 're-synch', 'state', 'event', '(', 's', ')', '(', 'dcr', '<*>', ')', 'detected', 'over', '<*>', '<*>']","{3: 'Other::ClosedSet', 17: 'Time::Duration', 18: 'Time::Duration'}",13 tree receiver 1 in re-synch state event(s) (dcr 0x0185) detected over 4562 seconds,bgl
<*> microseconds spent in the rbs signal handler during <*> calls. <*> microseconds was the maximum time for a single instance of a correctable ddr.,"['<*>', 'microseconds', 'spent', 'in', 'the', 'rbs', 'signal', 'handler', 'during', '<*>', 'calls', '.', '<*>', 'microseconds', 'was', 'the', 'maximum', 'time', 'for', 'a', 'single', 'instance', 'of', 'a', 'correctable', 'ddr.']",{},0 microseconds spent in the rbs signal handler during 0 calls. 0 microseconds was the maximum time for a single instance of a correctable ddr.,bgl
"<*> total interrupts. <*> critical input interrupts. <*> microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.","['<*>', 'total', 'interrupts', '.', '<*>', 'critical', 'input', 'interrupts', '.', '<*>', 'microseconds', 'total', 'spent', 'on', 'critical', 'input', 'interrupts', ',', '0', 'microseconds', 'max', 'time', 'in', 'a', 'critical', 'input', 'interrupt.']",{},"10722 total interrupts. 0 critical input interrupts. 0 microseconds total spent on critical input interrupts, 0 microseconds max time in a critical input interrupt.",bgl
"<*> ddr error(s) detected and corrected on rank <*>, symbol <*> over <*> <*>","['<*>', 'ddr', 'error', '(', 's', ')', 'detected', 'and', 'corrected', 'on', 'rank', '<*>', ',', 'symbol', '<*>', 'over', '<*>', '<*>']","{16: 'Time::Duration', 17: 'Time::Duration'}","1 ddr error(s) detected and corrected on rank 0, symbol 24 over 335 seconds",bgl
"PrepareForService shutting down Node card(mLctn(<*>), mCardSernum(<*>), mLp(<*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*><*>), mIp(<*>), mType(<*>)) as part of Service Action <*>","['PrepareForService', 'shutting', 'down', 'Node', 'card', '(', 'mLctn', '(', '<*>', ')', ',', 'mCardSernum', '(', '<*>', ')', ',', 'mLp', '(', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', ')', ',', 'mIp', '(', '<*>', ')', ',', 'mType', '(', '<*>', ')', ')', 'as', 'part', 'of', 'Service', 'Action', '<*>']","{45: 'Location::IP-Port::IP', 50: 'Other::ClosedSet'}","PrepareForService shutting down Node card(mLctn(R10-M1-N2), mCardSernum(203231503833343000000000594c31304b34323934303257), mLp(FF:F2:9F:16:E0:DA:00:0D:60:E9:1F:25), mIp(10.1.1.164), mType(4)) as part of Service Action 648",bgl
"Kernel detected <*> integer alignment exceptions (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*> (<*>) iar <*>, dear <*>","['Kernel', 'detected', '<*>', 'integer', 'alignment', 'exceptions', '(', '<*>', ')', 'iar', '<*>', ',', 'dear', '<*>', '(', '<*>', ')', 'iar', '<*>', ',', 'dear', '<*>', '(', '<*>', ')', 'iar', '<*>', ',', 'dear', '<*>', '(', '<*>', ')', 'iar', '<*>', ',', 'dear', '<*>', '(', '<*>', ')', 'iar', '<*>', ',', 'dear', '<*>', '(', '<*>', ')', 'iar', '<*>', ',', 'dear', '<*>', '(', '<*>', ')', 'iar', '<*>', ',', 'dear', '<*>', '(', '<*>', ')', 'iar', '<*>', ',', 'dear', '<*>']",{},"Kernel detected 35591540 integer alignment exceptions (35591533) iar 0x0023f108, dear 0x1feaa260 (35591534) iar 0x00265564, dear 0x1feaa1c0 (35591535) iar 0x00265574, dear 0x1feaa1e0 (35591536) iar 0x00265578, dear 0x1feaa200 (35591537) iar 0x00265588, dear 0x1feaa220 (35591538) iar 0x0026558c, dear 0x1feaa240 (35591539) iar 0x00265594, dear 0x1feaa260 (35591540) iar 0x00265598, dear 0x1feaa280",bgl
total of <*> ddr error(s) detected and corrected over <*> <*>,"['total', 'of', '<*>', 'ddr', 'error', '(', 's', ')', 'detected', 'and', 'corrected', 'over', '<*>', '<*>']","{12: 'Time::Duration', 13: 'Time::Duration'}",total of 1 ddr error(s) detected and corrected over 2487 seconds,bgl
minus normalized number..................0,"['minus', 'normalized', 'number..................0']",{},minus normalized number..................0,bgl
fraction rounded.........................0,"['fraction', 'rounded.........................0']",{},fraction rounded.........................0,bgl
"critical input interrupt (unit=<*> bit=<*>): warning for <*> <*> wire, suppressing further interrupts of same type","['critical', 'input', 'interrupt', '(', 'unit', '=', '<*>', 'bit', '=', '<*>', ')', ':', 'warning', 'for', '<*>', '<*>', 'wire', ',', 'suppressing', 'further', 'interrupts', 'of', 'same', 'type']",{15: 'Other::ClosedSet'},"critical input interrupt (unit=0x0b bit=0x17): warning for tree C1 wire, suppressing further interrupts of same type",bgl
size of scratchpad portion of <*> (<*>),"['size', 'of', 'scratchpad', 'portion', 'of', '<*>', '(', '<*>', ')']",{},size of scratchpad portion of L3.........0 (0M),bgl
ciod: LOGIN chdir(<*>) failed: <*> <*>,"['ciod', ':', 'LOGIN', 'chdir', '(', '<*>', ')', 'failed', ':', '<*>', '<*>']","{5: 'Location::Path', 9: 'StatusMessage', 10: 'StatusMessage'}",ciod: LOGIN chdir(/p/gb1/stella/RAPTOR/2183) failed: Input/output error,bgl
<*> L3 EDRAM error(s) (dcr <*>) detected and corrected over <*> <*>,"['<*>', 'L3', 'EDRAM', 'error', '(', 's', ')', '(', 'dcr', '<*>', ')', 'detected', 'and', 'corrected', 'over', '<*>', '<*>']","{15: 'Time::Duration', 16: 'Time::Duration'}",2 L3 EDRAM error(s) (dcr 0x0157) detected and corrected over 282 seconds,bgl
"ciod: Error loading <*>: program image too big, <*> > <*>","['ciod', ':', 'Error', 'loading', '<*>', ':', 'program', 'image', 'too', 'big', ',', '<*>', '>', '<*>']",{4: 'Location::Path'},"ciod: Error loading /g/g24/buber/Yunsic/BlueGene/partad.develf/taddriver.32.exe: program image too big, 361544528 > 266076160",bgl
fpr29=<*> <*> <*> <*>,"['fpr29', '=', '<*>', '<*>', '<*>', '<*>']",{},fpr29=0xffffffff ffffffff ffffffff ffffffff,bgl
Machine State Register: <*>,"['Machine', 'State', 'Register', ':', '<*>']",{},Machine State Register: 0x0002f900,bgl
Loaded Servicing Stack <*> with Core: <*>:<*>,"['Loaded', 'Servicing', 'Stack', '<*>', 'with', 'Core', ':', '<*>', ':', '<*>']",{},Loaded Servicing Stack v6.1.7601.23505 with Core: C:\Windows\winsxs\amd64_microsoft-windows-servicingstack_31bf3856ad364e35_6.1.7601.23505_none_681aa442f6fed7f0\cbscore.dll,windows
<*>:<*>:<*>:<*> WcpInitialize (wcp.dll version <*>) called (stack <*> <*> <*> <*> <*> <*>),"['<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'WcpInitialize', '(', 'wcp.dll', 'version', '<*>', ')', 'called', '(', 'stack', '<*>', '<*>', '<*>', '<*>', '<*>', '<*>', ')']","{0: 'Time::Timestamp', 2: 'Time::Timestamp', 4: 'Time::Timestamp', 6: 'Time::Timestamp'}",00000001@2016/9/27:20:30:31.455 WcpInitialize (wcp.dll version 0.0.0.6) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),windows
Ending TrustedInstaller initialization.,"['Ending', 'TrustedInstaller', 'initialization.']",{},Ending TrustedInstaller initialization.,windows
<*> the TrustedInstaller main loop.,"['<*>', 'the', 'TrustedInstaller', 'main', 'loop.']",{0: 'Other::ClosedSet'},Starting the TrustedInstaller main loop.,windows
TrustedInstaller service starts successfully.,"['TrustedInstaller', 'service', 'starts', 'successfully.']",{},TrustedInstaller service starts successfully.,windows
SQM: Initializing online with Windows opt-in: <*>,"['SQM', ':', 'Initializing', 'online', 'with', 'Windows', 'opt-in', ':', '<*>']",{},SQM: Initializing online with Windows opt-in: False,windows
SQM: Cleaning up report files older than <*> <*>,"['SQM', ':', 'Cleaning', 'up', 'report', 'files', 'older', 'than', '<*>', '<*>']","{8: 'Time::Duration', 9: 'Time::Duration'}",SQM: Cleaning up report files older than 10 days.,windows
SQM: Requesting upload of all unsent reports.,"['SQM', ':', 'Requesting', 'upload', 'of', 'all', 'unsent', 'reports.']",{},SQM: Requesting upload of all unsent reports.,windows
"SQM: Failed to start upload with file pattern: <*><*><*>, flags: <*> [HRESULT = <*> <*> <*>]","['SQM', ':', 'Failed', 'to', 'start', 'upload', 'with', 'file', 'pattern', ':', '<*>', '<*>', '<*>', ',', 'flags', ':', '<*>', '[', 'HRESULT', '=', '<*>', '<*>', '<*>', ']']","{10: 'Location::Path', 11: 'Location::Path', 12: 'Location::Path'}","SQM: Failed to start upload with file pattern: C:\Windows\servicing\sqm\*_std.sqm, flags: 0x2 [HRESULT = 0x80004005 - E_FAIL]",windows
SQM: Failed to start standard sample upload. [HRESULT = <*> <*> <*>],"['SQM', ':', 'Failed', 'to', 'start', 'standard', 'sample', 'upload', '.', '[', 'HRESULT', '=', '<*>', '<*>', '<*>', ']']",{},SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],windows
"SQM: Queued <*> file(s) for upload with pattern: <*><*><*>, flags: <*>","['SQM', ':', 'Queued', '<*>', 'file', '(', 's', ')', 'for', 'upload', 'with', 'pattern', ':', '<*>', '<*>', '<*>', ',', 'flags', ':', '<*>']","{13: 'Location::Path', 14: 'Location::Path', 15: 'Location::Path'}","SQM: Queued 0 file(s) for upload with pattern: C:\Windows\servicing\sqm\*_all.sqm, flags: 0x6",windows
SQM: Warning: Failed to upload all unsent reports. [HRESULT = <*> <*> <*>],"['SQM', ':', 'Warning', ':', 'Failed', 'to', 'upload', 'all', 'unsent', 'reports', '.', '[', 'HRESULT', '=', '<*>', '<*>', '<*>', ']']",{},SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],windows
"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.","['No', 'startup', 'processing', 'required', ',', 'TrustedInstaller', 'service', 'was', 'not', 'set', 'as', 'autostart', ',', 'or', 'else', 'a', 'reboot', 'is', 'still', 'pending.']",{},"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",windows
NonStart: Checking to ensure startup processing was not required.,"['NonStart', ':', 'Checking', 'to', 'ensure', 'startup', 'processing', 'was', 'not', 'required.']",{},NonStart: Checking to ensure startup processing was not required.,windows
"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = <*>","['<*>', 'IAdvancedInstallerAwareStore_ResolvePendingTransactions', '(', 'call', '<*>', ')', '(', 'flags', '=', '<*>', ',', 'progress', '=', '<*>', ',', 'phase', '=', '<*>', ',', 'pdwDisposition', '=', '<*>']",{},"00000004 IAdvancedInstallerAwareStore_ResolvePendingTransactions (call 1) (flags = 00000004, progress = NULL, phase = 0, pdwDisposition = @0xb6fd90",windows
"<*> Creating NT transaction (seq <*>), objectname [<*>]""(<*>)""","['<*>', 'Creating', 'NT', 'transaction', '(', 'seq', '<*>', ')', ',', 'objectname', '[', '<*>', ']', '""', '(', '<*>', ')', '""']",{},"00000005 Creating NT transaction (seq 1), objectname [6]""(null)""",windows
"<*> Created NT transaction (seq <*>) result <*>, handle <*>","['<*>', 'Created', 'NT', 'transaction', '(', 'seq', '<*>', ')', 'result', '<*>', ',', 'handle', '<*>']",{},"00000006 Created NT transaction (seq 1) result 0x00000000, handle @0x214",windows
<*>:<*>:<*>:<*> CSI perf trace:,"['<*>', ':', '<*>', ':', '<*>', ':', '<*>', 'CSI', 'perf', 'trace', ':']","{0: 'Time::Timestamp', 2: 'Time::Timestamp', 4: 'Time::Timestamp', 6: 'Time::Timestamp'}",00000007@2016/9/27:20:30:31.462 CSI perf trace:,windows
"NonStart: Success, startup processing not required as expected.","['NonStart', ':', 'Success', ',', 'startup', 'processing', 'not', 'required', 'as', 'expected.']",{},"NonStart: Success, startup processing not required as expected.",windows
<*> processing thread terminated normally,"['<*>', 'processing', 'thread', 'terminated', 'normally']",{0: 'Other::ClosedSet'},Startup processing thread terminated normally,windows
<*> CSI Store <*> (<*>) initialized,"['<*>', 'CSI', 'Store', '<*>', '(', '<*>', ')', 'initialized']",{},00000008 CSI Store 4991456 (0x00000000004c29e0) initialized,windows
